el,en
surprise,έκπληξη
surprise attack,αιφνιδιαστική επίθεση
surprised,έκπληκτος
surprisingly,εκπλητικά
surreal,σουρεαλιστικός
surrender,παραδίδω
surround,πλαισιώνω
surrounding,που περιστοιχίζει
surroundings,περιβάλλον
survey,μελέτη
survey map,καταστατικός χάρτης
surveyor,τοπογράφος
survival,επιβίωση
survive,επιζώ
survivor,επιζών
susceptibility,ευπάθεια
susceptible,ευπαθής
susceptible to,ευπαθής
sushi,ιαπωνέζικο ωμό ψάρι
suspect,υποπτεύομαι
suspect of,υποιμιάζομαι
suspend,δίνω αναστολή
suspended,κρεμασμένος
suspended sentence,ποινή με αναστολή
suspender,ζαρτιέρα
suspension,αναστολή
suspensory ligament,κρεμαστήριος σύνδεσμος
suspicion,δεισδαιμονία
suspicious,καχύποπτος
sustain,συντηρώ
sustained,συνεχής
sutural cataract,καταρράκτης των ραφών
suture,ραφή
swaggering,λεονταρισμοί
Swahili,σουαχίλι
swahili,σουαχίλι
swallow,χελιδόνι
swamp,έλος
swamper,ελόβιος
swampy,ελώδης
swan,κύκνος
swan song,κύκνειο άσμα
swap,ανταλλάσσω
swarm,σμάρι
swarming,κατάμεστος
swarm of bees,σμήνος μέλισσες
swarthy,μελαψός
swat,χτυπώ
swath spreader,συσκευή αερισμού χορτονομής
sway,ταλαντεύομαι
swear,ορκίζομαι
swear at,βρίζω
swear blind,διαρρηγνύω τα ιμάτιά μου
sweat,ιδρώνω. ίδρωτας
sweater,πουλόβερ
sweat glands,ιδρωτοποιοί αδένες
sweatshirt,κολεγιακό
sweaty,ιδρωμένος
Sweden,Σουηδία
sweden,Σουηδία
Swedish,Σουηδικά
swedish,Σουηδικά
sweep,καμπύλη
sweeping,σαρωτικός
sweeping fire,θεριστική βολή
sweepings,σαρίδι
sweet,γλυκός
sweetly,γλυκά
sweetness,γλυκύτητα
sweets,γλύκα
sweetshop,μαγαζί πού πουλάει καραμέλες
sweet shop,ζαχαροπλαστείο
sweet talker,ηδύγλωσσος
sweet talking,ηδύγλωσσος
swell,πρήζω
swelling,πρήξιμο
sweltering heat,ασφυκτική ζέστη
sweping,σάρωση
swerve,στρίβω απότομα
swiftly,γοργά
swill,ξεπλένω
swim,κολυμπώ
swimming,κολύμπι
swimming cap,σκουφάκι κολύμβησης
swimming costume,μαγιό
swimming goggles,γυαλάκια κολύμβησης
swimming pool,πισίνα
swimming trunks,μαγιό
swimsuit,μαγιό
swing,κούνια
swingeing,δυνατός
swing open,ανοίγω
swirl,δίνη
switch,αλλαγή
switch blade,σουγιάς με ελατήριο
switch off the light,κλείνω το φως
switch on,ανάβω
Switzerland,Ελβετία
switzerland,Ελβετία
swivel,στριφτάρι
swollen,πρησμένος
swoop,εφορμώ
sword,σπάθα
sword bearer,σπαθάτος
sword fighting,ξιφασκία
sword of Damocles,δαμόκλειος σπάθη
sword of damocles,δαμόκλειος σπάθη
swore,ορκίζομαι
sworn,ορκισμένος
sworn statement,κατάθεση
sycamore,σφένδαμος
syllable,συλλαβή
syllabus,πρόγραμμα σπουδών
syllogism,συλλογισμός
symbol,σύμβολο
symbolic,συμβολικός
symbolism,συμβολισμός
symmetry,συμμετρία
sympathetic to,συμπονετικός
sympathise with,συμπονώ
sympathy for,συμπόνια
symphony,συμφωνία
symptom,σύμπτωμα
symptoms,συμπτώματα
synagogue,συναγωγή
syndrome,σύνδρομο
synonym,συνώνυμο
synonymous,συνώνυμος
synthesizer,συνθεσάιζερ
synthetic,συνθετικός
syphilis,σύφιλη
syringe,σύριγγα
system,σύστημα
table,πίνακας
tablespoon,κουτάλι
tablet,χάπι
table tennis,πινγκ-πονγκ
tabloid,λαϊκή εφημερίδα
taboo,απαγορευμένο
tabulate,ταξινομώ
tachymeter,ταχύμετρο
tacit,σιωπηρός
tack,ξερό μπισκοτάκι
tackle,κάνω τάκλινγκ
tackling,τάκλινγκ
taco,τάκο
tact,διπλωματικότητα
tactics,τακτική
tactless,αδιάκριτος
tadpole,γυρίνος
tail,ουρά
tailback,μποτιλιάρισμα
tail coat,φράκο
taillight,πίσω φανάρι αυτοκινήτου
tailor,ράπτης
tailored,καλοραμμένος
take,παίρνω
take action,παίρνω μέτρα
take a deflection,εκτρέπομαι
take a dep breath,παίρνω μία βαθιά ανάσα
take advantage of,εκμεταλλεύομαι
take a firm hold,εδραιώνομαι
take after,μοιάζω
take aim at,σημαδεύω
take a keen interest in,ενδιαφέρομαι πολύ για
take a lifetime,χρειάζεται πολύ χρόνο
take a line,ακολουθώ μια γραμμή
take a look at,ρίχνω μια ματιά
take a mental note of,σημειώνω στο νου μου
take an exam,δίνω εξέταση
take an instant dislike to,αντιπαθώ αμέσως
take a picture,βγάζω φωτογραφία
take a pill,πίνω χάπι
take a reasonable approach,προσεγγίζω το θέμα λογικά
take a risk,διακινδυνεύω
take a swing at,ρίχνω μια μπουνιά
take away,παίρνω μαζί
take a wrong turning,παίρνω λάθος δρόμο
take back in time,γυρίζω πίσω σε χρόνο
take care,προνοώ
take centre stage,είμαι το πιο σημαντικό πρόσωπ
take delight in,βρίσκω ευχαρίστηση σε
take down,καταγράφω
take evasive action,ενεργώ για να αποφύγω
take exception to,βαριοφαίνομαι
take for granted,παίρνω σαν δεδομένο
take in,το χάφτω
take in hand,ασχολούμαι με
take into custody,θέτω υπό κράτηση
take it amiss,βαριοφαίνομαι
take it in,το καταλαβαίνω
take it upon oneself to,αναλαμβάνω την ευθύνη να
take liberties with,θαρρεύω με κάποιο
take measures against,λαμβάνω μέτρα κατά
take medicine,παίρνω φάρμακα
taken,πιασμένος
taken aback,ξαφνιασμένος
taken by,τσιμπιμένος
taken by surprise,ξαφνιασμένος
take note of,σημείωνω
take notes,κρατώ σημειώσεις
take notice,δίνω προσοχή
take notice of,προσέχω
take off,βγάζω
take off someone's hands,ξεφορτώνομαι κάτι για κάποιον
take on,προσλαμβάνω
take one's hat off,βγάζω το καπέλο
take one's hat off to,παραδέχομαι κάποιο
take one's mind off,κάνω κάποιον να ξεχάσει κάτι
take oneself off,φεύγω
take over,εξαγοράζω
take pains to,μπαίνω στον κόπο
take part in,λαμβάνω μέρος σε
take pictures,βγάζω φωτοφραφίες
take place,συντελούμαι
take precautions,λαμβάνω μέτρα
take pride in,περιφανεύομαι
take refuge,βρίσκω καταφύγιο
take seriously,παίρνω σοβαρά
take shape,παίρνω σάρκα και οστά
take someone's pulse,σφυγμομετρώ
take someone's temperature,θερμομετρώ κάποιον
take someone by surprise,ξαφνιάζω
take something to heart,παίρνω κάτι κατάκαρδα
take steps to,λαμβάνω μέτρα
take the consequences,υφίσταμαι τα επακόλουθα
take the credit,διεκδικώ την τιμή
take the law into one's hands,παίρνω το νόμο στα χέρια μου
take the liberty to,λαμβάνω το θάρρος
take the mickey out of,κοροϊδεύω
take the plunge,παίρνω την μεγάλη απόφαση
take the stand,ανέρχομαι στο εδώλιο ως μάρτυ
take the trouble,μπαίνω στον κόπο
take the trouble to,μπαίνω στον κόπο να
take the view,πιστεύω
take things easy,ξεκουράζομαι
take to,συμπαθώ
take to heart,παίρνω κατάκαρδα
take to one's bed,πηγαίνω στο κρεββάτι
take to one's heels,το βάζω στα πόδια
take to task,κατσαδιάζω
take up,κονταίνω
take up a challenge,δέχομαι μια πρόκληση
take up a hobby,ασχολούμαι με καινούριο χόμπι
take up with,κάνω παρέα με
taking,λήψη
taking a poll,σφυγμομέτρηση
taking away secretly,υπεξαγωγή
tale,μύθος
talented,ταλαντούχος
talk,ομιλία
talkative,φλύαρος
talking one's pressure,σφυγμομέτρηση
talk of the town,θέμα γενικής συζήτησης
talk over,συζητώ
talk sense,μιλώ λογικά
talk show,τοκ-σόου
talk someone's head off,κάνω το μυαλό κπ. κουρκούτι
talk someone out of,πείθω κάποιο να μη
tall,ψηλός
tall and thin,μαντράχολος
tall as a beanpole,πανύψηλος
tally,συμφωνώ
talon,νύχι
Tamburline,Ταμερλάνος
tamburline,Ταμερλάνος
tame,τιθασεύω
tamper,αλλοιώνω
tamper with,ανακατεύομαι
tampon,ταμπόν
tan,μαυρίζω
tandem,διπλό ποδήλατο
tangent,εφαπτόμενη
tangent of an arc,εφαπτόμενη τόξου
tangible,απτός
tango,ταγκό
tan hide,αργάζω το τομάρι
tank,άρμα μάχης
tanker wagon,βαγόνι βυτιοφόρο
tanned,μαυρισμένος
tanned hide,βύρσα
tantalising,δελεαστικός
tantalizing,δελεαστικός
tantamount,ισοδύναμος
tantrum,νευράκια
tap,παρακεντώ
tap dancing,κλακέτες
tape,ταινία
tapestry,τάπητας τοίχου
tapping,παρακέντηση
tapster,μπάρμαν
tap water,νερό της βρήσης
tar,ναύτης
tarboosh,φέσι
tardy,αργός
tare,ζιζάνιο
target,στοχεύω
tariff,τιμολόγιο
tarmac,άσφαλτος
tarn,ορεινή λίμνη
tarnish,αμαυρώνω
tarot,ταρώ
tarpaulin,πισσωμένο ύφασμα
tarragon,εστραγκόν
tarry,διαμένω
tarsal,ταρσικός
tarsus,ταρσός
tart,πόρνη
task,άθλος
tassel,το κρόσσι
taste,γεύση
taste bud,γευστικός κάλυκας
tasty,γευστικός
tatter,κουρέλι
tattle,κουτσομπολεύω
tattler,κουτσομπόλης
tatty,τριμμένος
taught,δίδαξα
taunt,λοιδορία
taunt scoff,λοιδορώ
tau particle,λεπτόνιο ταυ
taupe,γκρι-καφέ
taurine,ταυρίνη
Taurus,Ταύρος
taurus,Ταύρος
taut,τεντωμένος
tautology,ταυτολογία
tavern,παμπ
taw,βόλος
tawny eagle,στεπαετός
tawny owl,αιγωλός
tax,φόρος
taxable,φορολογητέος
taxation,φορολόγηση
tax evasion,φοροφυγή
taxi,ταξί
taxi driver,ταξιτζής
taxiing,τροχοδρόμηση
taxi rank,πιάτσα ταξί
tax oficial,έφορος
taxon,τάξη
tax on,φόρος
taxonomy,ταξονομία
taxpayer,φορολογούμενος
tea,τσάι
teach,διδάσκω
teacher,καθηγητής
teacup,φλιτζάνι
teal,κιρκίρι
team,ομάδα
team member,μέλος ομάδας
tear,δάκρυ
tear down,κατεδαφίζω
tear up,σχίζω
tease,πειράζω
tease out,αποσπώ
teaspoon,κουτάλι του τσαγιού
technically,τεχνικά
technique,τεχνική
technocracy,τεχνοκρατία
technological,τεχνολογικός
technology,τεχνολογία
tectonic plate,τεκτονική πλάκα
tedious,πληκτικός
tedium,πλήξη
tee,μικρός πάσσαλος στο γκολφ
teem,αφθονώ
teeming,που ξεχειλίζει από
teenager,έφηβος
teens,εφηβικά χρόνια
teeny-weeny,τοσοδούλικος
teeth,δόντια
teething,οδοντοφυΐα
telecommunication,τηλεπικοινωνία
telegram,τηλεγράφημα
telegraph,τηλέγραφος
telephone,τηλέφωνο
telephone booth,τηλεφονικός θάλαμος
telephone directory,τηλεφωνικός κατάλογος
teleprocessing,τηλεπεξεργασία
telescope,τηλεσκόπιο
television,τηλεόραση
television coverage,τηλεοπτική κάλυψη
television studio,τηλεοπτικό στούντιο
televisual,τηλεοπτικός
telewriter,τηλέτυπο
telex,τέλεξ
tell,λέω
tell apart,ξεχωρίζω
telling,αποκαλυπτiκός
tellingly,αποκαλυπτικά
telling off,κατσάδα
temerarious,παράτολμος
Temminck's stint,σταχτοσκαλίδρα
temminck's stint,σταχτοσκαλίδρα
temp,προσωρινός εργάτης
temper,σκληραίνω
temper again,αναστομώνω
temperament,ταμπεραμέντο
temperamental,ιδιότροπος
temperance,εγκράτεια
temperate,εύκρατες χώρες
temperature,πυρετός
tempering,ανόπτηση
temper tantrum,θυμός
tempest,τρικυμία
template,φόρμα
temple,μηνίγγι
tempo,ρυθμός
temporal,χρονικός
temporarily,προσωρινά
temporary,προσωρινός
temporary situation,προσωρινή κατάσταση
tempt,βάζω σε πειρασμό
temptation,πειρασμός
tempting,δελεαστικός
ten,φροντίζω
tenacious,επίμονος
tenancy,κολιγιά
tenant,ένοικος
tench,τίγγα
tend,επιμελούμαι
tendency,ροπή
tendency towards,ροπή προς
tender,μαλακός
tenderloin,ψαρονέφρι
tenderness,άλγος
tendon,τέντονας
tendril,ψαρίδα
tend to,τείνω να
tenet,δόγμα
tennis,τένις
tenon joint,ένωση με τόρμο
tenor,τενόρος
tens complement,συμπλήρωμα ως προς το δέκα
tense,τεντωμένος
tensile strength,όριο θραύσης
tension,ένταση
tent,σκηνή
tentacle,πλοκάμι
tentative,δειλός
tenth,δέκατος
tenuous,λεπτός
Terek sandpiper,τερεκότρυγγας
terek sandpiper,τερεκότρυγγας
terier,τεριέ
term,τρίμηνο
terminal,τερματικό αεροδρομίου
terminology,ορολογία
terminus,τελικός σταθμός
termite,τερμίτης
term of office,θητεία
tern,γλαρόνι
terrace,ταράτσα
terraced house,ένα σε μία σειρά σπιτιών
terrain,έδαφος
terrbly,τρομερά
terrestial,χερσαίος
terrible,τρομερός
terribly,απαίσια
terrier,τεριέ
terrifying,τρομακτικός
terrifyingly,τρομερά
territorial,εδαφικός
territorial enclave,περιφραγμένη περιοχή
territory,έδαφος
terror,τρόμος
terrorism,τρομοκρατία
terrorist,τρομοκράτης
terse,βραχύλογος
tespass,καταπατώ
test,ελέγχω
testament,διαθήκη
testicle,όρχις
testimonial,πιστοποιητικό
testimony,κατάθεση
testosterone,τεστοστερόνη
test ride,κάνω δοκιμαστική βόλτα
test tube,δοκιμαστικός σωλήνας
tetchy,ευέξαπτος
tetrahedral,τετράεδρικος
Teutonic,τευτονικός
teutonic,τευτονικός
text,κείμενο
textile mill,υφαντουργείο
texture,υφή
Thailand,Ταϋλάνδη
thailand,Ταϋλάνδη
thallium,θάλλιο
than,από
thank,ευχαριστώ
thankful for,ευγνώμων
thanks,ευχαριστώ
Thanksgiving,ημέρα των Ευχαριστίων
thanksgiving,ημέρα των Ευχαριστίων
thanks to,χάρη σε
that,που
that's more like it,τώρα μάλιστα
that's why,να γιατί
that is,ήτοι
that is to say,δηλαδή
that was a close call,παρά τρίχα γλίτωσα
that was a near thing,παρά τρίχα γλίτωσα
that will do,φτάνει
thaw,ξεπαγώνω
thcik,δασύς
the,τα
the 20s,η δεκαετία του 20
the 30s,η δεκαετία του 30
the 40s,η δεκαετία του 40
the 50s,η δεκαετία του 50
the 60s,η δεκαετία του 60
the 70s,η δεκαετία του 70
the 90s,η δεκαετία του 90
the accused,ο κατηγορούμενος
the Alps,οι ’λπες
the alps,οι ’λπες
the art of engraving seals,σφραγιδογλυφία
the ascending spiral,η ανοδική πορεία
theatre,θέατρο
theatre company,θίασος
theatrical,θεατρικός
theatricality,θεατρισμός
the Bar,δικηγορκός σύλλογος
the bar,δικηγορκός σύλλογος
the biter bitten,ο κυνηγός κυνηγημένος
the box,χαζοκουτί
the clock struck 12,χτύπησε 12 το ρολόι
the colour runs,ξεβάφει
the Conservatives,οι Συντηρητικοί
the conservatives,οι Συντηρητικοί
the Creed,το Πιστεύω
the creed,το Πιστεύω
the current state of affairs,η κατάσταση που επικρατεί
the day after tomorrow,μεθαύριο
the day before yesterday,προχθές
the die is cast,ο κύβος ερρίφθη
the dress doesn't suit you,δεν σου πάει το φόρεμα
the dress fits me,μου κάνει το φόρεμα
the dust settled,έκατσε η σκόνη
the engine stalls,σβύνει η μηχανή
the face of a watch,καντράν
the film is frightening,το έργο είναι φοβιστικό
the film is terrifying,το έργο είναι τρομαχτικό
the fire was out of control,η φωτιά ήταν εκτός ελέγχου
the former .... the latter,ο πρώτος .... ο δεύτερος
theft,κλοπή
the game is up,τελείωσαν όλα
the good the bad and the ugly,ο καλός ο κακός και ο άσχημος
the grim reaper,ο θάνατος
the gun goes off,το σήμα της εκκίνησης δίνεται
the Holy Inquisition,Iερή Εξέταση
the holy inquisition,Iερή Εξέταση
the house is οn fire,καίγεται το σπίτι
the immaculate conception,η άμωμη σύλληψη
their,ο δικός τους
the land of the Rising Sun,η χώρα του ανατέλλοντος ηλίου
the land of the rising sun,η χώρα του ανατέλλοντος ηλίου
the last word in,το άκρον άωτον
the latter half,το δεύτερο ήμισυ
the latter half of the year,το δεύτερο ημισύ του έτους
the letter of the law,ο νόμος κατά γράμματος
the lights changed,άλλαξαν τα φανάρια
them,αυτούς
the majority of,οι πιο πολλοί από
the material is not colourfast,δεν είναι ανεξίτηλo
theme,θέμα
theme park,λούνα-παρκ
the meter is running,ο μετρητής τρέχει
the military,στρατός
the most sudden,ο πιο απότομος
themselves,αυτοί οι ίδιο
then,έπειτα
The Netherlands,οι Κάτω Χώρες
the netherlands,οι Κάτω Χώρες
theologian,θεολόγος
theology,θεολογία
theory,θεωρία
theory of,θεωρία της
the other day,την άλλη μέρα
the pick of,αφρόκρεμα
the police,αστυνομία
the post,το πόστο
the rain poured down,η βροχή έπεφτε ραγδιαία
the rank and file,απλοί στρατιώτες
therapy,θεραπεία
the ratings,ακροαματικότητα
there,εκεί
there's,υπάρχει
there's a price to be paid,για όλα υπάρχει κάποιο τίμημα
there's more to come,έπονται κι'άλλα
there's no response,δεν βρίσκω ανταπόκριση
there are,υπάρχουν
therefore,γι'αυτό
therefter,μετά από αυτά
there is,υπάρχει
there is a familiar ring to,ακούγεται γνωστό
there is a storm brewing,θα γίνει μια μεγάλη θύελλα
the remnants,απομεινάρια
there was not a soul in sight,δεν υπήρχε άνθρωπος
thermal,θερμικός
thermometer,θερμόμετρο
the roof,οροφηή
the rule applies to you,ο κανόνας ισχύει για σένα
the scissors are,το ψαλίδι είναι
these,αυτοί
the seamy side,η κακή όψη του πράγματος
the second half,το δεύτερο ήμισυ
the sense of belonging,αίσθηση του ανήκειν
the sense of speed,η αίσθηση της ταχύτητας
the set is on the blink,πάει να χαλάει η τηλεόραση
thesis,διατριβή
the snake coiled,κουλουριάστηκε το φίδι
the sorcerer's apprentice,ο μαθητευμένος μάγος
the speed limit,όριο ταχύτητας
the spirit of the law,το πνεύμα του νόμου
the strictest,ο πιο αυστηρός
the strongest,ο πιο δυνατός
the sweetest,ο πιο γλυκός
the tap is dripping,στάζει η βρύση
the television is broken,χάλασε η τηλεόραση
the times are out of joint,ο κόσμος έχει ξεχαρβαλωθεί
the trick is to,το κόλπο είναι να
the trouble blew over,πέρασε γρήγορα η φασαρία
the ultimate,το άκρον άωτον
the very last minute,την τελευταία στιγμή
the week after next,την μεθεπόμενη εβδομάδα
the week before,την προηγούμενη εβδομάδα
the window of the soul,ο καθρέφτης της ψυχής
the world is my oyster,ο κόσμος είναι δικός μου
they,αυτά
they drank,ήπιαν
they drove him hard,του βγάλανε λάδι
they flew,πέταξαν
they made fun of him,τον πήραν στο ψιλό
they pulled his leg,τον πήραν στο ψιλό
they threw,πέταξαν
they were οη hand,ήταν παρόντες
thick,πυκνός
thicken,πυκνώνω
thicket,ρουμάνι
thickness,πυκνότητα
thigh,μηρός
thimble,δαχτυλύθρα
thin,αραιώνω
thine,δικός σου
thin end of the wedge,αυτό είναι η αρχή μονάχα
thing,πράγμα
things,πράγματα
think,σκέπτομαι
think again,ξανασκέφτομαι
think of,σκέφτομαι
think over,το σκέφτομαι
think twice,ξανασκέφτομαι
think up,σκαρφίζομαι
thinly,αριαιά
thinly populated,αραιά κατοικημένος
thinness,λιγνάδα
thin on the ground,που σπανίζει
third,τρίτος
Third World,Τρίτος Κόσμος
third world,Τρίτος Κόσμος
thirsty,διψασμένος
thirteenth,δέκατος τρίτος
thirty,τριάντα
this,αυτό
this evening,σήμερα το βράδυ
this morning,σήμερα το πρωί
thistle,γαϊδουράγκαθο
thorax,θώρακας
thorn,αγκάθι
thorough,επισταμένος
thorough check,εξονυχιστικός έλεγχος
thoroughfare,δίοδος
thoroughly,εκ θεμελίων
those,εκείνοι
those in power,οι ιθύνοντες
thou,εσύ
though,μολονότι
thought,νόμιζα
thoughtful,σκεφτικός
thoughtfully,σκεφτικά
thoughtless,απερίσκεπτος
thought provoking,εναυσματικός
thouhts,διανοήματα
thousand,χίλια
thrall,σκλάβος
thread,μίτος
thread one's way,ανοίγω δρόμο
threads,νήματα
threat,απειλή
threaten,απειλώ
threatening,απειλητικός
threateningly,απειλητικά
threaten with,απειλώ
three,τρία
three dimensional,τρισδιάστατο
three times,τρείς φορές
three times a year,3 φορές το χρόνο
thresher shark,αλεπόσκυλος
threshhold,κατώφλι
threw,πέταξα
thrice,τρείς φορές
thrifty,φειδωλός
thrill,συγκίνηση
thrilled,συγκινημένος
thriller,θρίλερ
thrilling,συναρπαστικός
thrive,ευδοκιμώ
throat,λαιμός
throat and neck,τράχηλος
throb,γογγύζω
thrombosis,θρόμβωση
throne,θρόνος
throng,συναθροίζομαι
through,διά μέσου
throughout,σε ολόκληρο
throughout Greece,πανελλαδικά
throughout greece,πανελλαδικά
throughout the country,σε ολόκληρη τη χώρα
throughout the land,σε ολόκληρη τη χώρα
throw,πετώ
throw a party,οργανώνω πάρτι
throw a spanner in the works,καταστρέφω μία δουλειά
throwing,πέταγμα
throw light on,ρίχνω φως σε
throw out,πετώ έξω
throw up,κάνω εμετό
thrust,μπήγω
thruster,προωστήρας
thumb,αντίχειρας
thumb a lift,κάνω ώτοστοπ
thumb through a book,ξεφυλλίζω ένα βιβλίο
thump,γρονθοκοπανώ
thunder,μπουμπουνίζω
thunder and lightning,αστραπές και βροντές
thunderous,βροντερός
Thursday,Πέμπτη
thursday,Πέμπτη
thwart,εμποδίζω
th water poured into the gap,το βερό όρμησε στο κενό
thyme,θυμάρι
thyroid,θυροειδής αδένας
tibia,κνήμη
tick,τικ
ticket,εισιτήριο
ticket clerk,ταμίας
ticket office,ταμείο
tickle,γαργαλίζω
tidal,παλιρροιακός
tidal wave,παλιρροιακό κύμα
tides,παλίρροια
tidy,αρκετός
tidy up your room,καθάρισε το δωματιό σου
tie,γραβάτα
ties,δεσμοί
tie the knot,χορεύω το χορό του Ησαϊα
tie up,δένω
tig,κυνηγητό
tiger,τίγρης
tight,στενός
tighten,σφίγγω
tightening,σφίξιμο
tight-fisted,παραδόπιστος
tight-fitting,κολλητός
tightly-bunched,σφικτά δεματιασμένος
tight measures,σκληρά μέτρα
tightrope walker,σχοινοβάτης
tights,κολάν
tilde,το σύμβολο ~
tile,κεραμίδι
till,ταμείο
tiller,δοιάκι
tilt,γέρνω
timber,ξυλεία
time,ώρα
time and tide wait for no man,θέρος τρύγος πόλεμος
time and time again,επανειλημμένες φορές
time bomb,ωρολογιακή βόμβα
time-honoured,καθιερωμένος
timekeeping,χρονομέτρηση
timeless,άχρονος
timely,καίριος
time machine,μηχανή του χρόνου
time out,λήξη χρόνου
timer,χρονομετρητής
times,φορές
time saving,εξοικονομιστικός χρόνου
timetable,ωράριο
timid,ντροπαλός
timidity,δειλία
timing,συγχρονισμός
timing device,συσκευή χρονομέτρησης
timocracy,τιμοκρατία
tin,κονσέρβα
tincture,βάμμα
tinder,προσάναμμα
tine,δόντι πηρουνιού
tinfoil,αλουμινόχαρτο
tinge,απόχρωση
tingle,αναψοκοκκινίζω
tinker,μαστορεύω
tinker with,ματορεύομαι
tinned,κονσερβαρισμένος
tinner,γανωτής
tinnitus,βόμβος
tinted,χρωματισμένος
tiny,μικροσκοπικός
tip,ποδοκόπι
tip of the iceberg,κορυφή του παγόβουνου
tip over,αναποδγυρίζω
tipper,ανατρεπόμενο φορτηγό
tipple,κρασοπίνω
tiptoe,περπατώ στις μύτες των ποδιών
tirade,κατσάδα
tire,εξαντλώ
tired,κουρασμένος
tiredness,κόπωση
tireless,ακούραστος
tire of,κουράζομαι
tisane,αφέψημα
tissue,ιστός
tit,βυζί
titanic,τιτανικός
titanium,τιτάνιος
tit for tat,οφθαλμόν αντί οφθαλμού
titilate,γαργαλίζω
title,τίτλος
tits,μπαλκόνια
T-junction,διακλάδωση σε σχήμα Τ
t-junction,διακλάδωση σε σχήμα Τ
to,σε
toad,φρύνος
toady,κόλακας
to all intents and purp,εν πάση περιπτώσει
to a man,μέχρι του τελευταίου άνδρα
to and fro,πέρα-δώθε
toast,κάνω πρόποση
to attend,παραβρίσκομαι
tobacco,καπνός
tobacconist,καπνοπώλης
to be a bad omen,είμαι κακός οιωνός
to begin with,κατ'αρχήν
to be laid off,απολύω
to believe,πιστεύω
to be noted,αξιοσημείωτα
to be panned,λαμβάνω δυσμενή κριτική
to be struck dumb by,μένω άναυδος
to be tried for,δικάζομαι
to build,χτίζω
to cash a cheque,εξαργυρώνω μία επιταγή
to claim,ισχυρίζομαι
to close,κλείνω
to cover,επιστρώνω
to date,μέχρι σήμερα
today,σήμερα
today's,σημερινός
toddle around,κάνω στράτα
toddler,βρέφος που αρχίζει να περπατά
to die,πεθαίνω
toe,δάκτυλο των ποδιών
toes,δάκτυλα των ποδιών
toe the line,πειθαρχώ
to explode,να εκραγεί
toffee,καραμέλα
to fit in with,ταιριάζω
together,μαζί
togetherness,ομόνοια
to go off,να εκραγεί
to have a break,κάνω διάλειμμα
to have a lesson,έχω μάθημα
to have nine lives,είμαι εφτάψυχος
to have seen better days,παρακμάζω
to hell with,στο διάολο
to his horror,προς κακή του έκπληξη
toil,μόχθος
toilet,τουαλέτα
toiletries,είδη μπάνιου
toilet water,κολόνια
to juggle,κάνω κόλπα ταχυδακτυλουργού
token,δείγμα
told,αφηγήθηκα
tolerable,υποφερτός
tolerance,ανοχή
tolerant,ανεκτικός
tolerant of,ανεκτικός
tolerate,ανέχομαι
to let one down,απογοητεύω κάποιον
toll,διόδια
tomahawk,πολεμικό τσεκούρι
to make a claim,κάνω ένα ισχυρισμό
to make matters worse,και σαν να μην έφτανε αυτό
to make up,βάζω μακιγιάζ
tomato,ντομάτα
tomb,τάφος
tom cat,γάτος
tomorrow,αύριο
to my horror,πρός μεγάλο μου τρόμο
to my liking,του γούστου μου
ton,τόνος
tone,ατμόσφαιρα
tone down,μετριάζω
tongs,λαβίδα
tongue,γλώσσα
tongue in cheek,ειρωνικός
tongue twister,λέξη γλωσσοδέτης
tonic,τονωτικός
tonight,απόψε
tonsil,αμυγδαλή
too,επίσης
too bad,τόσο το χειρότερο
tool,εργαλείο
toolbar,γραμμή εργαλείων
tools,εργαλέια
to one's own end,προς δικό του σκοπό
tooth,δόντι
toothache,πόνος στο δόντι
toothbrush,οδοντόβουρτσα
tooth decay,τερηδόνα
toothed,οδοντωτός
toothpaste,οδοντόπαστα
toothpick,οδοντογλυφίδα
top,κορυφαίος
to pack,βάζω σε βαλίτσα
tope,δροσίτης
top hat,ψηλό καπέλο
topic,θέμα
top level conference,συνάντηση κορυφής
top off,ολοκληρώνω
topology,τοπολογία
to pour out one's complaints,εκφράζω τα παράπονά του
top out,φτάνω στο μέγιστο
topple,γκρεμίζομαι
toppling,ανατροπή
top priority,απόλυτη προτεραιότητα
top sheet,επανωσέντονο
topsoil,επιφανειακό στρώμα έδαφους
top speed,ανώτατη ταχύτητα
topsy-turvy,άνω-κάτω
top up,συμπλήρωμα
top up one's reserves,εφοδιάζομαι πάλι
to put money into an account,καταθέτω
toque,τόκα
torch,φακός
tore,σχίζω
to resist,αντιστέκομαι
torn,σχίζω
tornado,ανεμοστρόβιλος
torn apart,διαλυμένος
torn Levi's,σχιστό τζίν
torn levi's,σχιστό τζίν
torpedo,τορπίλη
torpedo boat,τορπιλάκατος
torpid,ναρκωμένος
torrent,χείμαρρος
torrential,καταρρακτώδης
torrid,φλογισμένος
torsion,στρέψη
torsion meter,στρεψίμετρο
tortoise,χελώνα ξηράς
tortuous,σκολιός
torture,βασανίζω
tortured with,βασανισμένος
to save,αποταμιεύω
to shine a lamp,φέγγω ένα φως σε
to some extent,μέχρι ενός σημείου
toss,ρίχνω
to start with,κατ'αρχήν
to streamline,δίνω αεροδυναμική γραμμή
to such a pitch,σε τέτοιο βαθμό
to such extremes,σε τέτοιο σημείο
to such lengths,σε τέτοιο βαθμό
to take hostages,παίρνω όμηρους
total,ολικός
total eclipse,ολική έκλειψη
totalitarian,ολοκληρωτικός
